,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Cluster Label,Rating,Tips Count
35,Chinatown,40.71561842231432,-73.99427936255978,Nom Wah Tea Parlor,40.714512,-73.998235,Dim Sum Restaurant,49f220a3f964a520ee691fe3,-1,8.5,376
36,Chinatown,40.71561842231432,-73.99427936255978,Shanghai Asian Cuisine • 上海小館,40.7159178087348,-73.9973114386594,Shanghai Restaurant,4abac118f964a520cb8220e3,-1,7.8,43
37,Chinatown,40.71561842231432,-73.99427936255978,Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant,589bb0fddfa6ff5e1dc8649f,0,9.2,15
38,Chinatown,40.71561842231432,-73.99427936255978,Golden Unicorn Restaurant 麒麟金閣,40.713628504646834,-73.99723023176193,Dim Sum Restaurant,3fd66200f964a520ece31ee3,-1,8.2,228
39,Chinatown,40.71561842231432,-73.99427936255978,Tofu Tofu,40.71760511582277,-73.99530413000093,Korean Restaurant,59777632a0215b656ce48629,-1,7.7,5
40,Washington Heights,40.85190252555305,-73.93690027985234,The Uptown Garrison,40.85125539385438,-73.93947295544035,Restaurant,59f76cd528374e40d82f761b,-1,8.9,10
41,Washington Heights,40.85190252555305,-73.93690027985234,Saggio Restaurant,40.85142251681508,-73.93976122140884,Italian Restaurant,4d21107c6e8c37042b58ff9f,-1,8.5,62
42,Washington Heights,40.85190252555305,-73.93690027985234,Tampopo Ramen,40.85069287922829,-73.93656823814172,Ramen Restaurant,55d65695498ed8dc09c5b010,-1,7.8,18
43,Washington Heights,40.85190252555305,-73.93690027985234,The Pandering Pig,40.855226197706585,-73.93779261979789,American Restaurant,56e213e1498e8b403c8bb16a,-1,8.6,6
44,Washington Heights,40.85190252555305,-73.93690027985234,181 Cabrini,40.85125123665036,-73.94034289599841,New American Restaurant,49f925bdf964a520656d1fe3,-1,7.9,44
45,Washington Heights,40.85190252555305,-73.93690027985234,Las Tapas,40.85523384393846,-73.93728400575858,Tapas Restaurant,54405a3e498e5d4a84ee266c,-1,8.3,7
46,Washington Heights,40.85190252555305,-73.93690027985234,La Casa del Mofongo,40.85026656753515,-73.93314532362541,Caribbean Restaurant,4afcba6af964a5206d2522e3,-1,7.9,61
47,Washington Heights,40.85190252555305,-73.93690027985234,La Cabana Salvadorena,40.85433401375745,-73.9336768506694,Latin American Restaurant,4c16d2ec5e88c928c5ca2466,-1,7.9,12
48,Washington Heights,40.85190252555305,-73.93690027985234,Terravita,40.848059,-73.937645,New American Restaurant,5b57bb361acf11002c14ba96,-1,8.2,4
49,Washington Heights,40.85190252555305,-73.93690027985234,Kismat Indian Restaurant,40.855221723964846,-73.93696683600031,Indian Restaurant,4ae7876ef964a5201eac21e3,-1,7.8,26
50,Washington Heights,40.85190252555305,-73.93690027985234,Punto de Sabor Restaurant,40.85074,-73.93247,Spanish Restaurant,4bb8cdb053649c74465847fb,-1,7.5,5
51,Washington Heights,40.85190252555305,-73.93690027985234,Lucky 7 Tapas Bar,40.85044675560533,-73.93303027615121,Tapas Restaurant,4e8d32ebb803ca3dfcbd112e,-1,7.4,17
52,Washington Heights,40.85190252555305,-73.93690027985234,No. 1 Chinese Restaurant,40.85123671099152,-73.93960586750859,Chinese Restaurant,4b3fe94af964a520e2b125e3,-1,7.0,5
53,Washington Heights,40.85190252555305,-73.93690027985234,Sushi Yu II,40.8512546772285,-73.93965198989514,Sushi Restaurant,4a4a642cf964a520bdab1fe3,-1,7.0,37
54,Washington Heights,40.85190252555305,-73.93690027985234,Yang Garden,40.85530896752232,-73.93783226069496,Chinese Restaurant,4b292f38f964a520939a24e3,-1,7.3,2
55,Washington Heights,40.85190252555305,-73.93690027985234,Mambi Steak House Bar & Grill,40.84761525167604,-73.93814343707571,Spanish Restaurant,4acce300f964a520e2c920e3,-1,7.6,20
56,Washington Heights,40.85190252555305,-73.93690027985234,Marisco Centro (Seafood Restaurant & Fish Market),40.85133231436476,-73.9318637321785,Seafood Restaurant,4bdcc53e03be20a1c7b2849b,-1,7.4,11
57,Washington Heights,40.85190252555305,-73.93690027985234,Refried Beans Mexican Restaurant,40.85503858399724,-73.93703107149052,Mexican Restaurant,4b2c33d0f964a520aac324e3,-1,7.1,37
58,Washington Heights,40.85190252555305,-73.93690027985234,Tung Thong,40.851109976169056,-73.93921985006985,Thai Restaurant,5809511c38fafba1ec352126,-1,6.8,2
59,Washington Heights,40.85190252555305,-73.93690027985234,El Guanaco Restaurant Pupuseria,40.848216,-73.938164,Latin American Restaurant,4debcfd645dd3993a8af6691,-1,7.2,5
60,Washington Heights,40.85190252555305,-73.93690027985234,Silver Palace,40.84981135311256,-73.93353375663406,Chinese Restaurant,4ba411c8f964a5202d7e38e3,-1,,2
61,Inwood,40.86768396449915,-73.92121042203897,Guadalupe Bar and Grill,40.86733441190966,-73.92086276373738,Mexican Restaurant,4b0885d1f964a520a20d23e3,-1,8.3,45
62,Inwood,40.86768396449915,-73.92121042203897,fantastic lounge,40.866297,-73.919626,Latin American Restaurant,536d733b498ed4eaf742c67e,-1,8.1,1
63,Inwood,40.86768396449915,-73.92121042203897,The Tubby Hook,40.86781567865924,-73.92073897853041,American Restaurant,5814dc8ed67ca5038583da78,-1,7.7,5
64,Inwood,40.86768396449915,-73.92121042203897,La Reina Del Chicharron,40.866356651741405,-73.92501189872718,Spanish Restaurant,4c043cd3f423a593955dd116,-1,8.3,7
65,Inwood,40.86768396449915,-73.92121042203897,Inwood Bar and Grill,40.86704379362675,-73.92257045428569,Restaurant,56218101498e22966bef8816,-1,7.4,11
66,Inwood,40.86768396449915,-73.92121042203897,Made in Mexico,40.86727537546098,-73.91708993197774,Mexican Restaurant,53e58cd0498e01b8fae39b41,-1,7.9,6
67,Inwood,40.86768396449915,-73.92121042203897,Trattoria Inwood,40.868415973147286,-73.9186468720436,Italian Restaurant,52cdfb4011d2f6cf0535f2d2,-1,7.4,7
68,Inwood,40.86768396449915,-73.92121042203897,Guacamole,40.869659000000006,-73.916736,Mexican Restaurant,5830ff3044587f7beb2271cc,-1,8.0,2
69,Inwood,40.86768396449915,-73.92121042203897,Genesis Autentica Comida Ecuatoriana,40.8654980859935,-73.91984190208424,Restaurant,4d6ab34b994f224bc1cb0beb,-1,7.3,6
70,Inwood,40.86768396449915,-73.92121042203897,"""U"" Like",40.8675317158944,-73.92156645636662,Chinese Restaurant,4bd5f4d229eb9c74c64594e1,-1,7.1,7
